turbine,policy,issue_date,issue_time_utc,issue_time_local,time_utc,time_local,horizon_day,lead_hours,nwp_lead_hours,forecast,p10,p50,p90,wind_speed_100m,ws100_ens_std,temperature_2m
t1,rolling,2026-02-11,2026-02-11 18:00:00,2026-02-12,2026-02-11 18:00:00,2026-02-12 00:00:00,1,0.0,24.0,0.5392097255476683,0.14347578498191482,0.5578483416473922,0.9179084748560848,8.527777777777779,1.4690742024641499,1.1
t1,rolling,2026-02-11,2026-02-11 18:00:00,2026-02-12,2026-02-11 19:00:00,2026-02-12 01:00:00,1,1.0,24.0,0.5633843556253025,0.16957635529596865,0.5536170395641348,0.9331368911434783,8.685185185185185,1.881179802294207,1.1333333333333333
t1,rolling,2026-02-11,2026-02-11 18:00:00,2026-02-12,2026-02-11 20:00:00,2026-02-12 02:00:00,1,2.0,24.0,0.5409350243121319,0.13193027731885476,0.5038036362780991,0.9363017903937909,9.564814814814815,2.6254531256958935,1.0999999999999999
t1,rolling,2026-02-11,2026-02-11 18:00:00,2026-02-12,2026-02-11 21:00:00,2026-02-12 03:00:00,1,3.0,24.0,0.4362417735756586,0.09242875433234576,0.4149239106163253,0.8911783321968445,9.120370370370372,2.4200699748411356,0.9666666666666667
t1,rolling,2026-02-11,2026-02-11 18:00:00,2026-02-12,2026-02-11 22:00:00,2026-02-12 04:00:00,1,4.0,24.0,0.35782714707215246,0.06365762598858776,0.3793702502070945,0.8200602913217264,8.342592592592593,1.6235946756447235,0.9333333333333332
t1,rolling,2026-02-11,2026-02-11 18:00:00,2026-02-12,2026-02-11 23:00:00,2026-02-12 05:00:00,1,5.0,24.0,0.25888690943109194,0.04714831037653719,0.28384014871203267,0.7267823221396819,7.296296296296297,0.04243125643477576,0.9
t1,rolling,2026-02-11,2026-02-11 18:00:00,2026-02-12,2026-02-12 00:00:00,2026-02-12 06:00:00,1,6.0,24.0,0.13095987977537243,0.0,0.08129605359627728,0.3993038135002024,5.222222222222222,1.6459358852250605,0.4666666666666666
t1,rolling,2026-02-11,2026-02-11 18:00:00,2026-02-12,2026-02-12 01:00:00,2026-02-12 07:00:00,1,7.0,24.0,0.08647978877414964,0.0,0.03883144947458689,0.2932161308207609,4.833333333333333,1.8291197370171477,0.3333333333333333
t1,rolling,2026-02-11,2026-02-11 18:00:00,2026-02-12,2026-02-12 02:00:00,2026-02-12 08:00:00,1,8.0,24.0,0.05693941402540766,0.0,0.022127190880951608,0.24544870117039108,3.925925925925926,1.4995712693198506,0.09999999999999998
t1,rolling,2026-02-11,2026-02-11 18:00:00,2026-02-12,2026-02-12 03:00:00,2026-02-12 09:00:00,1,9.0,24.0,0.04150003868781834,0.0,0.0033388081575786432,0.18641541382683746,3.0,1.4784981535745847,0.13333333333333333
t1,rolling,2026-02-11,2026-02-11 18:00:00,2026-02-12,2026-02-12 04:00:00,2026-02-12 10:00:00,1,10.0,24.0,0.04149365915053246,0.0,0.004727881246293707,0.1915160280537395,1.6018518518518519,0.689612821532053,0.4666666666666666
t1,rolling,2026-02-11,2026-02-11 18:00:00,2026-02-12,2026-02-12 05:00:00,2026-02-12 11:00:00,1,11.0,24.0,0.05278816430864717,0.0,0.024351808176305105,0.26057905460973907,1.0092592592592593,0.6985066375015665,1.0666666666666667
t1,rolling,2026-02-11,2026-02-11 18:00:00,2026-02-12,2026-02-12 06:00:00,2026-02-12 12:00:00,1,12.0,24.0,0.1291598070764697,0.0,0.07920388745405907,0.4280435294212742,3.9351851851851856,2.6455082671897943,2.8000000000000003
t1,rolling,2026-02-11,2026-02-11 18:00:00,2026-02-12,2026-02-12 07:00:00,2026-02-12 13:00:00,1,13.0,24.0,0.2062446841242353,0.0,0.1141146752488694,0.5816253622916325,4.907407407407407,2.840993638846641,3.4333333333333336
t1,rolling,2026-02-11,2026-02-11 18:00:00,2026-02-12,2026-02-12 08:00:00,2026-02-12 14:00:00,1,14.0,24.0,0.2363735763676042,0.0,0.1635901117929246,0.6448571085320982,5.361111111111112,2.7581249221925668,4.0
t1,rolling,2026-02-11,2026-02-11 18:00:00,2026-02-12,2026-02-12 09:00:00,2026-02-12 15:00:00,1,15.0,24.0,0.24561220946504048,0.0,0.14076699548441846,0.6479857192960945,5.398148148148149,3.2804054125644124,4.366666666666666
