feature,importance
ensemble_wind_speed_100m,0.5794211948801439
wind_speed_10m_mean,0.1259874901233059
ecmwf_wind_speed_10m,0.059538027324183375
day_of_year_cos,0.03667117191020555
day_of_year_sin,0.03256623251578664
ecmwf_surface_pressure,0.03025525227087668
gfs_wind_direction_10m_cos,0.02553234088601578
gfs_wind_direction_100m_sin,0.02326481476224183
ecmwf_wind_speed_100m,0.022018025189182208
icon_wind_gusts_10m,0.020546197493636714
gfs_relative_humidity_2m,0.015900235250292525
hour_sin,0.01341126645935652
icon_wind_speed_100m,0.006343580062652996
turbine_id,0.005949633693774019
lead_hours,0.0025945371783453373
